code,current,name,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,disciplines,events,birth_place,birth_country,residence_place,residence_country,occupation,lang,age,medal_date,medal_type,medal_code,discipline,event,event_type,is_medallist,medallist_binary,in_team
1532872,True,ALEKSANYAN Artur,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Greco-Roman 97kg""]",GYUMRI,Armenia,GYUMRI,Armenia,Athlete,"Armenian, English, Russian",32,2024-08-07,Silver Medal,2.0,Wrestling,Men's Greco-Roman 97kg,HATH,True,1,False
1532873,True,AMOYAN Malkhas,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Greco-Roman 77kg""]",YEREVAN,Armenia,YEREVAN,Armenia,Athlete,Armenian,25,2024-08-07,Bronze Medal,3.0,Wrestling,Men's Greco-Roman 77kg,HATH,True,1,False
1532874,True,GALSTYAN Slavik,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Greco-Roman 67kg""]",unspecified,unspecified,YEREVAN,Armenia,Athlete,Armenian,27,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1532944,True,HARUTYUNYAN Arsen,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Freestyle 57kg""]",MASIS,Armenia,YEREVAN,Armenia,Athlete,Armenian,24,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1532945,True,TEVANYAN Vazgen,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Freestyle 65kg""]",POKR VEDI,Armenia,unspecified,Armenia,Athlete,"Armenian, Russian",24,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1532951,True,ARENAS Lorena,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",PEREIRA,Colombia,MELBOURNE,Australia,Athlete,Spanish,30,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,True
1533112,True,McKENZIE Ashley,Male,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,['Judo'],['Men -60 kg'],LONDON,Great Britain,CAMBERLEY,Great Britain,Athlete,English,35,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1533136,True,BASS BITTAYE Gina Mariam,Female,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",TUBAKUTA,Gambia,unspecified,unspecified,"Athlete, police officer (sub-inspector)","English, French",29,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1533176,True,CAMARA Ebrahima,Male,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,['Athletics'],"[""Men's 100m""]",BUNDUNG,Gambia,ANGERS,France,"Athlete, prison officer","Arabic, English, French, Mandinka, Wolof",27,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1533188,True,RUEDA SANTOS Lizeth,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,['Triathlon'],"[""Women's Individual""]",GUADALAJARA,Mexico,XALAPA,Mexico,Athlete,Spanish,30,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,True
